date_reservation, date_accommodation_begin, nights7, city, hotel_name, room_type, number_of_rooms, total_price, cancellation7, cancellation2
2024-06-11,  2024-08-04,  7,  Cairo,  Ramses Hilton,  suit,  1,  14280,  0.35000000000000003,  0.85
2024-05-29,  2024-07-19,  10,  Hong Kong,  Hotel Sav Hong Kong,  executive,  2,  43400,  0.30000000000000004,  0.75
2024-06-16,  2024-07-28,  2,  Singapur,  York Hotel Singapore,  standard,  1, 3260,  0.2,  0.4
2024-05-25,  2024-07-14,  1,  Konya,  Derya Hotel,  suit,  2, 2540,  0.25,  0.45000000000000007
2024-06-13,  2024-08-03,  4,  Londra,  Hilton London Metropole,  suit,  5, 37200,  0.25,  1
2024-06-03,  2024-07-23,  3,  Bursa,  Ramada Bursa Cekirge,  deluxe,  1,  5010,  0.25,  0.4
2024-06-02,  2024-07-24,  2,  Johannesburg,  Signature Lux Hotel,  deluxe,  2, 4720,  0.15000000000000002,  0.75
2024-05-28,  2024-07-10,  4,  Las Vegas,  New York-New York Hotel & Casino,  deluxe,  10, 80000,  0.30000000000000004,  0.4
2024-06-06,  2024-07-26,  6,  Mumbai,  Trident Nariman Point,  deluxe,  2,  22800,  0.2,  0.55
2024-06-13,  2024-07-27,  7,  Muğla,  Montana Pine Resort,  standard,  9, 91980,  0.35000000000000003,  0.55
2024-06-03,  2024-07-27,  1,  İstanbul,  Ramada by Wyndham,  suit,  7,  10500,  0.2,  0.7
2024-06-11,  2024-08-04,  6,  Mersin,  Dostlar Hotel,  executive,  1, 13860,  0.2,  0.6000000000000001
2024-05-21,  2024-07-10,  3,  Rio de Janeiro,  Windsor Asturias,  executive,  1,  5370,  0.30000000000000004,  0.6000000000000001
2024-06-12,  2024-08-05,  3,  Pekin,  King’s Joy Hotel,  large,  6,  12060,  0.30000000000000004,  0.6000000000000001
2024-06-17,  2024-08-07,  4,  Milano,  NH Collection Milano President,  standard,  2,  18480,  0.35000000000000003,  0.55
2024-06-12,  2024-07-31,  2,  Cairo,  Conrad Cairo,  suit,  9, 22500,  0.35000000000000003,  0.55
2024-06-03,  2024-07-24,  3,  Doha,  La Villa Hotel,  deluxe,  10, 29400,  0.30000000000000004,  0.6000000000000001
2024-05-23,  2024-07-12,  6,  Moskova,  Maxima Panorama Hotel,  executive,  1,  11760,  0.15000000000000002,  0.45000000000000007
2024-06-02,  2024-07-23,  1,  Jakarta,  Mercure Jakarta Kota,  standard,  2,  3400,  0.2,  1
2024-05-23,  2024-07-13,  1,  Milano,  Hotel Berna,  suit,  1, 1850,  0.25,  0.45000000000000007
2024-06-08,  2024-07-31,  1,  Hong Kong,  Regal Hongkong Hotel,  executive,  3,  7860,  0.2,  0.55
2024-05-30,  2024-07-20,  7,  Londra,  Claridge's,  large,  10,  181300,  0.3,  0.5
2024-05-22,  2024-07-12,  2,  Seul,  Ibis Styles Ambassador,  deluxe,  4, 12960,  0.25,  0.30000000000000004
2024-06-26,  2024-08-10,  2,  Johannesburg,  Sandton Sun,  deluxe,  2, 6800,  0.25,  0.8
2024-05-26,  2024-07-17,  1,  Doha,  The St. Regis Doha,  standard,  35,  124250,  0.4,  0.95
2024-06-24,  2024-08-07,  2,  Delhi,  Taj Mahal Hotel New Delhi,  large,  9, 68580,  0.25,  0.8
2024-06-09,  2024-07-29,  2,  Eskişehir,  Tasigo Hotels Eskisehir,  large,  10,  57200,  0.4,  0.95
2024-06-18,  2024-08-06,  12,  Bangkok,  Red Planet Bangkok,  deluxe,  7, 58800,  0.2,  0.6000000000000001
2024-06-21,  2024-08-06,  6,  Trabzon,  Radisson Blu Hotel Trabzon,  deluxe,  11, 155760,  0.25,  0.5
2024-06-11,  2024-07-29,  6,  Buenos Aires,  Four Seasons Hotel Buenos Aires,  standard,  2, 32640,  0.4,  0.5
2024-05-23,  2024-07-16,  3,  Sydney,  Ibis Sydney Darling Harbour,  large,  1, 2760,  0.30000000000000004,  0.30000000000000004
2024-06-20,  2024-08-09,  10,  Mexico City,  Four Seasons Hotel Mexico City,  large,  1,  33000,  0.35,  0.5
2024-05-22,  2024-07-12,  1,  Mersin,  Atlıhan Hotel,  suit,  5,  13450,  0.25,  0.55
2024-06-10,  2024-07-31,  8,  Rio de Janeiro,  Hotel Atlantico Business Centro,  deluxe,  2, 21440,  0.25,  0.6000000000000001
2024-06-21,  2024-08-06,  7,  Milano,  Uptown Palace,  large,  3, 35910,  0.35000000000000003,  0.7
2024-06-09,  2024-07-29,  2,  Johannesburg,  Four Seasons Hotel The Westcliff Johannesburg,  suit,  4,  27040,  0.25,  0.95
2024-06-09,  2024-07-30,  6,  Dubai,  Ramada Downtown Dubai,  large,  2, 11280,  0.30000000000000004,  0.85
2024-06-27,  2024-08-08,  2,  Kuala Lumpur,  Pullman Kuala Lumpur City Centre Hotel,  large,  1, 3800,  0.25,  1
2024-06-12,  2024-08-01,  10,  Muğla,  Hotel Unique,  suit,  22,  347600,  0.35000000000000003,  0.85
2024-06-08,  2024-07-26,  9,  Roma,  Hotel Artemide,  large,  10, 133200,  0.25,  0.55
2024-06-02,  2024-07-19,  5,  Nevşehir,  Dere Suites,  large,  10, 78000,  0.30000000000000004,  0.55
2024-06-15,  2024-08-06,  12,  Madrid,  Hotel Mayorazgo,  executive,  2,  44880,  0.35000000000000003,  0.7
2024-06-15,  2024-07-31,  7,  Pekin,  Waldorf Astoria Beijing,  deluxe,  9, 173880,  0.3,  0.65
2024-06-07,  2024-07-29,  4,  Auckland,  President Hotel,  suit,  1,  4040,  0.15000000000000002,  0.75
2024-06-04,  2024-07-25,  1,  Miami,  Runway Inn Miami,  large,  7,  4200,  0.25,  0.75
2024-05-31,  2024-07-18,  8,  Milano,  Starhotels Anderson,  large,  2, 22720,  0.35000000000000003,  0.85
2024-06-01,  2024-07-25,  5,  Riyadh,  Ibis Riyadh Olaya Street,  standard,  1,  2100,  0.15000000000000002,  0.6000000000000001
2024-05-24,  2024-07-14,  3,  Amsterdam,  The Student Hotel Amsterdam City,  executive,  1,  5310,  0.15000000000000002,  0.6000000000000001
2024-06-06,  2024-07-19,  6,  Rio de Janeiro,  Grand Hyatt Rio de Janeiro,  large,  2, 37320,  0.4,  0.8
2024-06-17,  2024-08-07,  7,  Aydın,  Ilayda Avantgarde,  executive,  1,  14700,  0.2,  0.45000000000000007
2024-06-20,  2024-08-05,  1,  Miami,  The Setai Miami Beach,  suit,  1, 1320,  0.3,  0.5
2024-06-03,  2024-07-16,  3,  Delhi,  The Oberoi,  deluxe,  2, 16620,  0.25,  0.8
2024-06-23,  2024-08-06,  6,  Las Vegas,  New York-New York Hotel & Casino,  standard,  2, 20880,  0.30000000000000004,  0.4
2024-05-24,  2024-07-15,  6,  Buenos Aires,  Four Seasons Hotel Buenos Aires,  standard,  1,  15660,  0.4,  0.5
2024-05-29,  2024-07-23,  5,  Nairobi,  Best Western Plus Meridian,  executive,  1,  8200,  0.15000000000000002,  0.45000000000000007
2024-06-05,  2024-07-27,  13,  Johannesburg,  Premier Hotel Mapungubwe,  deluxe,  6,  97500,  0.2,  0.6000000000000001
2024-06-02,  2024-07-22,  2,  Hong Kong,  Novotel Century Hong Kong,  executive,  1,  5240,  0.35000000000000003,  0.55
2024-05-30,  2024-07-22,  2,  Miami,  Marriott Miami Dadeland,  executive,  1,  3720,  0.25,  0.7
2024-05-20,  2024-07-10,  13,  Bursa,  Divan Bursa,  suit,  1,  19760,  0.30000000000000004,  0.7
2024-06-13,  2024-08-01,  11,  Delhi,  The Metropolitan Hotel & Spa New Delhi,  standard,  1, 17160,  0.30000000000000004,  0.7
2024-06-11,  2024-07-30,  5,  Konya,  Ramada Plaza Konya,  suit,  4, 25400,  0.35000000000000003,  0.55
2024-05-25,  2024-07-17,  4,  Eskişehir,  Tasigo Hotels Eskisehir,  executive,  1,  11280,  0.4,  0.95
2024-06-01,  2024-07-20,  4,  Gaziantep,  Novotel,  large,  7, 40600,  0.25,  0.7
2024-06-23,  2024-08-07,  6,  Mumbai,  Four Seasons Hotel Mumbai,  standard,  2, 41400,  0.25,  0.5
2024-05-30,  2024-07-21,  5,  Pekin,  Beijing Hyde Hotel,  large,  9,  29700,  0.25,  0.6000000000000001
2024-06-18,  2024-08-03,  1,  Paris,  Novotel Paris Les Halles,  deluxe,  10, 20800,  0.2,  0.85
2024-05-28,  2024-07-20,  6,  Cape Town,  Holiday Inn Express Cape Town,  large,  1, 5160,  0.2,  0.30000000000000004
2024-06-14,  2024-08-05,  1,  Şanlıurfa,  Dedeman Sanliurfa,  standard,  9,  11430,  0.30000000000000004,  0.7
2024-06-09,  2024-07-29,  4,  San Francisco,  The Mosser,  executive,  1,  7320,  0.25,  0.75
2024-06-14,  2024-08-05,  6,  Doha,  The St. Regis Doha,  deluxe,  2, 30120,  0.4,  0.95
2024-05-24,  2024-07-13,  5,  İstanbul,  The Constantine Hotel,  deluxe,  2, 15000,  0.25,  0.75
2024-05-22,  2024-07-11,  3,  Adana,  Masel Hotel,  deluxe,  5,  21900,  0.2,  0.75
2024-06-15,  2024-08-04,  1,  Hong Kong,  Hotel Sav Hong Kong,  executive,  1, 2220,  0.30000000000000004,  0.75
2024-06-23,  2024-08-07,  2,  Dubai,  Atlantis The Palm,  standard,  2, 9480,  0.4,  0.95
2024-05-20,  2024-07-11,  6,  Buenos Aires,  Hotel Lyon Buenos Aires,  suit,  1,  5760,  0.2,  0.30000000000000004
2024-05-24,  2024-07-10,  5,  Barselona,  W Barcelona,  large,  1, 12300,  0.3,  1
2024-06-09,  2024-07-24,  2,  Gaziantep,  Tugcan Hotel,  standard,  32, 115200,  0.25,  0.5
2024-06-13,  2024-08-04,  6,  Buenos Aires,  Hotel Mundial,  standard,  10,  60600,  0.30000000000000004,  0.45000000000000007
2024-05-21,  2024-07-14,  1,  İzmir,  Hotel Baylan Basmane,  large,  3, 2190,  0.2,  0.30000000000000004
2024-05-19,  2024-07-11,  6,  Trabzon,  Nur Hotel,  standard,  6, 42120,  0.30000000000000004,  0.6000000000000001
2024-05-31,  2024-07-17,  5,  Auckland,  Hilton Auckland,  standard,  8, 181600,  0.35,  0.8
2024-06-11,  2024-08-04,  2,  Roma,  Hotel Colosseum,  suit,  5, 16600,  0.30000000000000004,  0.75
2024-06-09,  2024-08-03,  1,  Mexico City,  Hotel Marbella,  suit,  9,  14220,  0.15000000000000002,  0.30000000000000004
2024-06-07,  2024-07-25,  8,  Şanghay,  Mandarin Oriental Pudong,  deluxe,  12, 201600,  0.3,  0.5
2024-06-04,  2024-07-24,  2,  Şanghay,  Shanghai Fish Inn Bund,  standard,  12,  21360,  0.15000000000000002,  0.75
2024-05-28,  2024-07-22,  1,  Hong Kong,  Novotel Century Hong Kong,  executive,  2,  5240,  0.35000000000000003,  0.55
2024-05-30,  2024-07-17,  9,  Delhi,  The Oberoi,  deluxe,  9, 204930,  0.25,  0.8
2024-06-19,  2024-08-05,  5,  Trabzon,  TS Gold Hotel,  deluxe,  13, 168350,  0.30000000000000004,  0.85
2024-06-18,  2024-08-01,  1,  Buenos Aires,  Dazzler by Wyndham Buenos Aires San Martin,  large,  39, 32370,  0.25,  0.7
2024-06-15,  2024-07-28,  2,  Bangkok,  Shangri-La Hotel Bangkok,  standard,  2, 11840,  0.3,  1
2024-06-04,  2024-07-28,  2,  Madrid,  Petit Palace Cliper Gran Via,  suit,  3, 10200,  0.30000000000000004,  0.30000000000000004
2024-05-23,  2024-07-12,  2,  Trabzon,  Fengo Hotel,  deluxe,  7, 32060,  0.30000000000000004,  0.7
2024-06-17,  2024-08-08,  9,  İzmir,  Mövenpick Hotel Izmir,  deluxe,  8, 127440,  0.25,  0.7
2024-06-20,  2024-08-04,  2,  Konya,  Dedeman Konya Hotel,  large,  4, 23760,  0.25,  0.65
2024-06-18,  2024-08-05,  6,  Cape Town,  The Table Bay Hotel,  deluxe,  5, 112800,  0.4,  0.95
2024-05-23,  2024-07-14,  5,  Miami,  Hotel St. Michel,  suit,  1, 6650,  0.30000000000000004,  0.30000000000000004
2024-05-29,  2024-07-10,  1,  Riyadh,  Four Seasons Hotel Riyadh,  deluxe,  2, 7920,  0.25,  1
2024-06-20,  2024-08-09,  13,  Los Angeles,  The Westin Bonaventure Hotel,  executive,  2,  59800,  0.30000000000000004,  0.7
2024-06-02,  2024-07-21,  1,  Seul,  Four Points by Sheraton Josun,  standard,  1, 1350,  0.2,  0.85
2024-05-30,  2024-07-18,  1,  Amsterdam,  The Student Hotel Amsterdam City,  deluxe,  1, 1020,  0.15000000000000002,  0.6000000000000001
2024-06-17,  2024-07-31,  15,  Johannesburg,  Protea Hotel by Marriott Johannesburg Balalaika Sandton,  standard,  8, 134400,  0.35000000000000003,  0.85
2024-06-04,  2024-07-24,  1,  Viyana,  Hotel Caroline,  standard,  7,  5670,  0.30000000000000004,  0.6000000000000001
2024-05-24,  2024-07-14,  2,  Rio de Janeiro,  PortoBay Rio Internacional,  executive,  3, 16560,  0.25,  0.4
2024-05-31,  2024-07-16,  1,  Sao Paulo,  Fasano Sao Paulo,  suit,  5, 11150,  0.3,  1
2024-06-11,  2024-08-03,  12,  Şanlıurfa,  Harran Hotel,  suit,  2,  37920,  0.30000000000000004,  0.85
2024-06-15,  2024-08-01,  1,  Riyadh,  Hyatt Regency Riyadh Olaya,  standard,  8, 13200,  0.35,  1
2024-06-19,  2024-08-04,  6,  Konya,  Dedeman Konya Hotel,  deluxe,  6, 101520,  0.25,  0.65
2024-06-07,  2024-07-30,  4,  Auckland,  President Hotel,  standard,  6, 13440,  0.15000000000000002,  0.75
2024-05-22,  2024-07-11,  2,  Buenos Aires,  Dazzler by Wyndham Buenos Aires San Martin,  suit,  1,  2540,  0.25,  0.7
2024-05-19,  2024-07-11,  2,  Amsterdam,  Ibis Amsterdam Centre,  large,  12,  22080,  0.2,  0.6000000000000001
2024-05-30,  2024-07-11,  10,  İzmir,  Swissotel Buyuk Efes,  suit,  2, 47800,  0.4,  0.8
2024-06-15,  2024-08-07,  15,  Mersin,  Hilton Mersin,  executive,  1,  60000,  0.3,  1
2024-06-14,  2024-07-30,  15,  Barselona,  Mandarin Oriental,  standard,  1, 40650,  0.3,  1
2024-05-24,  2024-07-18,  6,  Şanlıurfa,  Hilton Garden Inn,  executive,  1,  10020,  0.30000000000000004,  0.75
2024-06-14,  2024-08-06,  4,  Ankara,  JW Marriott Hotel Ankara,  executive,  4,  32800,  0.3,  0.95
2024-06-19,  2024-08-10,  4,  Barselona,  Hotel Catalonia Plaza,  executive,  1,  8320,  0.30000000000000004,  0.55
2024-06-12,  2024-08-03,  1,  Adana,  Cukurova Park Hotel,  deluxe,  6,  5640,  0.30000000000000004,  0.30000000000000004
2024-05-28,  2024-07-19,  2,  Tokyo,  Keio Plaza Hotel,  suit,  2,  9200,  0.35000000000000003,  0.85
2024-05-25,  2024-07-10,  7,  Adana,  Divan Adana,  standard,  1, 12320,  0.35,  0.65
2024-05-27,  2024-07-19,  8,  Trabzon,  Zorlu Grand Hotel,  standard,  2,  20160,  0.35000000000000003,  0.55
2024-06-14,  2024-08-08,  2,  Johannesburg,  Protea Hotel by Marriott Johannesburg Balalaika Sandton,  executive,  1,  3320,  0.35000000000000003,  0.85
2024-06-01,  2024-07-25,  1,  Gaziantep,  Yunus Hotel,  standard,  8,  6320,  0.25,  0.6000000000000001
2024-05-26,  2024-07-17,  5,  Madrid,  Petit Palace Cliper Gran Via,  deluxe,  10,  66000,  0.30000000000000004,  0.30000000000000004
2024-06-12,  2024-08-01,  1,  New York,  Pod 51 Hotel,  standard,  14, 12740,  0.25,  0.6000000000000001
2024-05-27,  2024-07-14,  2,  Konya,  Rixos Konya,  deluxe,  11, 75680,  0.25,  0.95
2024-05-29,  2024-07-13,  1,  Antalya,  Ramada Plaza Antalya,  standard,  9, 12240,  0.2,  0.85
2024-05-30,  2024-07-19,  13,  Mumbai,  The St. Regis Mumbai,  standard,  1,  20670,  0.30000000000000004,  1
2024-05-31,  2024-07-12,  6,  Ankara,  Sheraton Ankara,  suit,  1, 15660,  0.25,  1
2024-06-18,  2024-08-07,  2,  New York,  DoubleTree by Hilton Times Square,  large,  13,  23920,  0.35000000000000003,  0.4
2024-05-27,  2024-07-17,  1,  Ankara,  Radisson Blu Ankara,  executive,  3,  6480,  0.35000000000000003,  0.7
2024-06-22,  2024-08-05,  2,  Şanghay,  Waldorf Astoria Shanghai on the Bund,  standard,  10, 80400,  0.4,  0.95
2024-05-31,  2024-07-16,  4,  Johannesburg,  Sandton Sun,  large,  8, 59840,  0.25,  0.8
2024-06-22,  2024-08-04,  6,  Los Angeles,  Hilton Checkers Los Angeles,  large,  6, 38880,  0.2,  0.55
2024-06-05,  2024-07-28,  1,  Nairobi,  Hotel Central Park,  suit,  1,  960,  0.15000000000000002,  0.75
2024-06-08,  2024-08-01,  11,  Roma,  Hassler Roma,  executive,  2, 73260,  0.4,  1
2024-05-25,  2024-07-17,  7,  Ankara,  Hotel Abro Sezenler,  standard,  5, 28000,  0.25,  0.75
2024-06-21,  2024-08-02,  1,  Delhi,  The Oberoi,  suit,  1, 3500,  0.25,  0.8
2024-06-08,  2024-07-24,  8,  Miami,  Fontainebleau Miami Beach,  suit,  1, 11600,  0.3,  0.5
2024-06-06,  2024-07-27,  15,  Los Angeles,  Travelodge by Wyndham Hollywood,  standard,  7, 49350,  0.15000000000000002,  0.6000000000000001
2024-06-06,  2024-07-20,  2,  Kuala Lumpur,  The St. Regis Kuala Lumpur,  suit,  2, 14280,  0.3,  0.5
2024-06-21,  2024-08-10,  2,  New York,  Hilton Garden Inn NYC,  executive,  2,  12760,  0.25,  1
2024-06-25,  2024-08-08,  1,  Trabzon,  Novotel Trabzon,  large,  13, 33540,  0.4,  0.95
2024-05-25,  2024-07-14,  7,  İstanbul,  The Constantine Hotel,  standard,  2,  12180,  0.25,  0.75
2024-06-12,  2024-07-24,  6,  Singapur,  Raffles Hotel Singapore,  suit,  29, 459360,  0.25,  0.65
2024-06-22,  2024-08-05,  4,  Bangkok,  Amari Watergate Bangkok,  standard,  1, 4400,  0.25,  0.55
2024-06-09,  2024-07-23,  2,  Viyana,  Hotel Regina,  large,  1, 2580,  0.2,  0.85
2024-05-28,  2024-07-19,  6,  Konya,  Ramada Plaza Konya,  deluxe,  2, 14520,  0.35000000000000003,  0.55
2024-06-06,  2024-07-28,  5,  Sydney,  Great Southern Hotel,  large,  6, 27600,  0.2,  0.75
2024-06-03,  2024-07-15,  1,  Barselona,  W Barcelona,  large,  2, 4080,  0.3,  1
2024-05-21,  2024-07-11,  1,  Delhi,  Hotel Ajanta,  deluxe,  9,  42390,  0.30000000000000004,  0.30000000000000004
2024-06-13,  2024-08-02,  4,  New York,  Pod 51 Hotel,  standard,  7,  26320,  0.25,  0.6000000000000001
2024-05-19,  2024-07-12,  2,  Gaziantep,  Ibis Gaziantep,  deluxe,  7, 18060,  0.2,  0.75
2024-06-21,  2024-08-09,  15,  Bali,  AYANA Resort and Spa Bali,  suit,  32, 950400,  0.25,  0.95
2024-06-16,  2024-08-05,  14,  Milano,  Bulgari Hotel Milano,  deluxe,  2,  119280,  0.4,  0.8
2024-06-02,  2024-07-23,  1,  İzmir,  Mövenpick Hotel Izmir,  suit,  12,  26640,  0.25,  0.7
2024-06-14,  2024-07-29,  2,  New York,  DoubleTree by Hilton Times Square,  standard,  2, 4320,  0.35000000000000003,  0.4
2024-05-31,  2024-07-12,  3,  Hong Kong,  The Peninsula Hong Kong,  suit,  11, 83490,  0.3,  0.8
2024-05-26,  2024-07-12,  2,  Los Angeles,  The Westin Bonaventure Hotel,  large,  19, 50920,  0.30000000000000004,  0.7
2024-06-07,  2024-07-27,  13,  Rio de Janeiro,  Belmond Copacabana Palace,  executive,  1,  52520,  0.3,  0.65
2024-06-11,  2024-08-03,  3,  Adana,  Masel Hotel,  large,  9, 35640,  0.2,  0.75
2024-06-18,  2024-08-10,  1,  Bangkok,  Travelodge Sukhumvit,  large,  12, 8760,  0.15000000000000002,  0.75
2024-06-24,  2024-08-09,  2,  Barselona,  Hotel Arts Barcelona,  suit,  11, 70180,  0.4,  1
2024-06-10,  2024-08-02,  1,  Ankara,  Hotel Abro Sezenler,  executive,  1, 2000,  0.25,  0.75
2024-06-04,  2024-07-21,  3,  Viyana,  Hotel Sacher Wien,  large,  39, 345150,  0.25,  1
2024-05-27,  2024-07-12,  5,  Tokyo,  Hotel Sunroute Plaza Shinjuku,  large,  9, 53550,  0.25,  1
2024-05-29,  2024-07-18,  2,  Aydın,  Ramada Resort Kusadasi,  deluxe,  8, 30400,  0.35000000000000003,  0.7
2024-05-22,  2024-07-12,  1,  Delhi,  Hotel City Star,  executive,  3, 6330,  0.15000000000000002,  0.45000000000000007
2024-06-05,  2024-07-21,  1,  Aydın,  Richmond Ephesus Resort,  large,  9, 51570,  0.4,  1
2024-05-26,  2024-07-20,  14,  Miami,  EB Hotel Miami,  suit,  2,  42840,  0.25,  0.85
2024-06-18,  2024-08-07,  15,  Seul,  Ibis Styles Ambassador,  executive,  1, 32250,  0.25,  0.30000000000000004
2024-06-26,  2024-08-10,  2,  Viyana,  Hotel Sacher Wien,  standard,  39, 343980,  0.25,  1
2024-06-05,  2024-07-17,  2,  Londra,  The Ritz London,  suit,  5, 32800,  0.35,  1
2024-06-04,  2024-07-20,  9,  Antalya,  Titanic Beach Lara,  suit,  1, 38160,  0.3,  0.5
2024-06-03,  2024-07-25,  15,  Auckland,  President Hotel,  suit,  1, 15150,  0.15000000000000002,  0.75
2024-05-26,  2024-07-17,  7,  New York,  Holiday Inn Express,  standard,  11, 58520,  0.15000000000000002,  0.30000000000000004
2024-06-21,  2024-08-08,  4,  Eskişehir,  Tasigo Hotels Eskisehir,  large,  6, 65520,  0.4,  0.95
2024-06-19,  2024-08-09,  2,  İstanbul,  Sirkeci Park Hotel,  executive,  1,  3480,  0.25,  0.75
2024-06-15,  2024-08-05,  2,  Kuala Lumpur,  Traders Hotel Kuala Lumpur,  deluxe,  16, 45120,  0.35000000000000003,  0.4
2024-06-04,  2024-07-26,  2,  Rio de Janeiro,  PortoBay Rio Internacional,  large,  1, 3000,  0.25,  0.4
2024-06-17,  2024-07-31,  5,  Johannesburg,  The Michelangelo Hotel,  deluxe,  8, 98800,  0.4,  0.5
2024-06-12,  2024-08-03,  3,  San Francisco,  Four Seasons Hotel San Francisco,  deluxe,  4, 50280,  0.3,  1
2024-06-11,  2024-07-25,  8,  Mexico City,  St. Regis Mexico City,  standard,  26, 596960,  0.4,  0.8
2024-06-15,  2024-08-09,  1,  Mersin,  Dostlar Hotel,  deluxe,  9,  14490,  0.2,  0.6000000000000001
2024-05-28,  2024-07-17,  1,  Cairo,  City View Hotel,  deluxe,  1,  1070,  0.2,  0.30000000000000004
2024-06-18,  2024-08-04,  11,  Paris,  Ibis Paris Montmartre,  suit,  2, 33000,  0.15000000000000002,  0.6000000000000001
