date_reservation, date_accommodation_begin, nights, city, hotel_name, room_type, number_of_rooms, total_price, cancellation7, cancellation2
2024-06-09, 2024-07-29, 3, Gaziantep, Yunus Hotel, large, 7, 20160, 0.25, 0.6000000000000001
2024-05-24, 2024-07-15, 1, Londra, Premier Inn London, executive, 1, 2000, 0.25, 0.30000000000000004
2024-06-11, 2024-08-05, 2, Aydın, Surtel Hotel, deluxe, 4, 47520, 0.25, 0.6000000000000001
2024-05-22, 2024-07-13, 13, İstanbul, Ramada by Wyndham, suit, 2, 36660, 0.2, 0.7
2024-05-23, 2024-07-15, 2, Buenos Aires, Hotel Costa Rica, large, 1, 1580, 0.30000000000000004, 0.45000000000000007
2024-06-12, 2024-08-01, 1, Madrid, Petit Palace Cliper Gran Via, standard, 1, 950, 0.30000000000000004, 0.30000000000000004
2024-05-29, 2024-07-18, 2, Mexico City, Four Seasons Hotel Mexico City, large, 10, 73400, 0.35, 0.5
2024-06-06, 2024-07-31, 2, Paris, Shangri-La Hotel Paris, executive, 2, 14560, 0.4, 1
2024-05-25, 2024-07-19, 1, Şanghay, Waldorf Astoria Shanghai on the Bund, large, 1, 6010, 0.4, 0.95
2024-06-16, 2024-08-10, 12, Eskişehir, Tasigo Hotels Eskisehir, deluxe, 1, 54360, 0.4, 0.95
2024-05-25, 2024-07-19, 2, Nairobi, The Sarova Stanley, executive, 1, 7760, 0.4, 1
2024-06-13, 2024-08-06, 4, Las Vegas, The STRAT Hotel, executive, 1, 20680, 0.25, 0.6000000000000001
2024-06-12, 2024-08-05, 14, Moskova, The Ritz-Carlton Moscow, deluxe, 2, 70840, 0.25, 1
2024-05-25, 2024-07-16, 7, Londra, Premier Inn London, standard, 9, 173880, 0.25, 0.30000000000000004
2024-05-22, 2024-07-15, 11, İstanbul, Four Seasons Hotel Istanbul, large, 9, 491040, 0.35, 0.95
2024-06-04, 2024-07-25, 8, New York, Four Seasons Hotel New York, executive, 2, 34720, 0.3, 1
2024-06-16, 2024-08-10, 1, Paris, Ibis Paris Montmartre, large, 7, 20370, 0.15000000000000002, 0.6000000000000001
2024-05-27, 2024-07-19, 4, Paris, Pullman Paris Tour Eiffel, executive, 2, 48400, 0.35000000000000003, 0.55
2024-05-22, 2024-07-16, 14, Madrid, The Westin Palace Madrid, large, 2, 106120, 0.35, 1
2024-06-15, 2024-08-09, 3, Şanghay, Shanghai Blue Mountain Hostel, suit, 1, 4050, 0.30000000000000004, 0.45000000000000007
2024-06-08, 2024-07-30, 1, Riyadh, Four Seasons Hotel Riyadh, suit, 7, 24500, 0.25, 1
2024-06-08, 2024-08-01, 1, Milano, Hotel Principe di Savoia, suit, 18, 50400, 0.25, 0.65
2024-06-11, 2024-08-04, 7, Cairo, Ramses Hilton, suit, 1, 14280, 0.35000000000000003, 0.85
2024-05-29, 2024-07-19, 10, Hong Kong, Hotel Sav Hong Kong, executive, 2, 43400, 0.30000000000000004, 0.75
2024-06-06, 2024-07-28, 2, Singapur, York Hotel Singapore, standard, 1, 8920, 0.2, 0.4
2024-05-24, 2024-07-14, 1, Konya, Derya Hotel, suit, 2, 2640, 0.25, 0.45000000000000007
2024-06-11, 2024-08-03, 4, Londra, Hilton London Metropole, suit, 5, 39400, 0.25, 1
2024-06-03, 2024-07-23, 3, Bursa, Ramada Bursa Cekirge, deluxe, 1, 5010, 0.25, 0.4
2024-06-01, 2024-07-24, 2, Johannesburg, Signature Lux Hotel, deluxe, 2, 4840, 0.15000000000000002, 0.75
2024-05-16, 2024-07-10, 4, Las Vegas, New York-New York Hotel & Casino, deluxe, 10, 225600, 0.30000000000000004, 0.4
2024-06-06, 2024-07-26, 6, Mumbai, Trident Nariman Point, deluxe, 2, 22800, 0.2, 0.55
2024-06-05, 2024-07-27, 7, Muğla, Montana Pine Resort, standard, 9, 244440, 0.35000000000000003, 0.55
2024-06-03, 2024-07-27, 1, İstanbul, Ramada by Wyndham, suit, 7, 10500, 0.2, 0.7
2024-06-10, 2024-08-04, 6, Mersin, Dostlar Hotel, executive, 1, 14400, 0.2, 0.6000000000000001
2024-05-21, 2024-07-10, 3, Rio de Janeiro, Windsor Asturias, executive, 1, 5370, 0.30000000000000004, 0.6000000000000001
2024-06-12, 2024-08-05, 3, Pekin, King’s Joy Hotel, large, 6, 12060, 0.30000000000000004, 0.6000000000000001
2024-06-17, 2024-08-07, 4, Milano, NH Collection Milano President, standard, 2, 18480, 0.35000000000000003, 0.55
2024-06-09, 2024-07-31, 2, Cairo, Conrad Cairo, suit, 9, 23040, 0.35000000000000003, 0.55
2024-06-02, 2024-07-24, 3, Doha, La Villa Hotel, deluxe, 10, 30000, 0.30000000000000004, 0.6000000000000001
2024-05-23, 2024-07-12, 6, Moskova, Maxima Panorama Hotel, executive, 1, 11760, 0.15000000000000002, 0.45000000000000007
2024-06-02, 2024-07-23, 1, Jakarta, Mercure Jakarta Kota, standard, 2, 3400, 0.2, 1
2024-05-22, 2024-07-13, 1, Milano, Hotel Berna, suit, 1, 1970, 0.25, 0.45000000000000007
2024-06-08, 2024-07-31, 1, Hong Kong, Regal Hongkong Hotel, executive, 3, 7860, 0.2, 0.55
2024-05-30, 2024-07-20, 7, Londra, Claridge's, large, 10, 181300, 0.3, 0.5
2024-05-21, 2024-07-12, 2, Seul, Ibis Styles Ambassador, deluxe, 4, 13200, 0.25, 0.30000000000000004
2024-06-16, 2024-08-10, 2, Johannesburg, Sandton Sun, deluxe, 2, 11800, 0.25, 0.8
2024-05-26, 2024-07-17, 1, Doha, The St. Regis Doha, standard, 35, 124250, 0.4, 0.95
2024-06-17, 2024-08-07, 2, Delhi, Taj Mahal Hotel New Delhi, large, 9, 75060, 0.25, 0.8
2024-06-09, 2024-07-29, 2, Eskişehir, Tasigo Hotels Eskisehir, large, 10, 57200, 0.4, 0.95
2024-06-17, 2024-08-06, 12, Bangkok, Red Planet Bangkok, deluxe, 7, 59640, 0.2, 0.6000000000000001
2024-06-15, 2024-08-06, 6, Trabzon, Radisson Blu Hotel Trabzon, deluxe, 11, 421080, 0.25, 0.5
2024-06-09, 2024-07-29, 6, Buenos Aires, Four Seasons Hotel Buenos Aires, standard, 2, 39360, 0.4, 0.5
2024-05-22, 2024-07-16, 3, Sydney, Ibis Sydney Darling Harbour, large, 1, 9240, 0.30000000000000004, 0.30000000000000004
2024-06-20, 2024-08-09, 10, Mexico City, Four Seasons Hotel Mexico City, large, 1, 33000, 0.35, 0.5
2024-05-22, 2024-07-12, 1, Mersin, Atlıhan Hotel, suit, 5, 13450, 0.25, 0.55
2024-06-09, 2024-07-31, 8, Rio de Janeiro, Hotel Atlantico Business Centro, deluxe, 2, 21920, 0.25, 0.6000000000000001
2024-06-12, 2024-08-06, 7, Milano, Uptown Palace, large, 3, 113400, 0.35000000000000003, 0.7
2024-06-09, 2024-07-29, 2, Johannesburg, Four Seasons Hotel The Westcliff Johannesburg, suit, 4, 27040, 0.25, 0.95
2024-06-08, 2024-07-30, 6, Dubai, Ramada Downtown Dubai, large, 2, 15360, 0.30000000000000004, 0.85
2024-06-18, 2024-08-08, 2, Kuala Lumpur, Pullman Kuala Lumpur City Centre Hotel, large, 1, 3980, 0.25, 1
2024-06-12, 2024-08-01, 10, Muğla, Hotel Unique, suit, 22, 347600, 0.35000000000000003, 0.85
2024-06-03, 2024-07-26, 9, Roma, Hotel Artemide, large, 10, 158400, 0.25, 0.55
2024-05-29, 2024-07-19, 5, Nevşehir, Dere Suites, large, 10, 91500, 0.30000000000000004, 0.55
2024-06-15, 2024-08-06, 12, Madrid, Hotel Mayorazgo, executive, 2, 44880, 0.35000000000000003, 0.7
2024-06-07, 2024-07-31, 7, Pekin, Waldorf Astoria Beijing, deluxe, 9, 238770, 0.3, 0.65
2024-06-07, 2024-07-29, 4, Auckland, President Hotel, suit, 1, 4040, 0.15000000000000002, 0.75
2024-06-04, 2024-07-25, 1, Miami, Runway Inn Miami, large, 7, 4200, 0.25, 0.75
2024-05-29, 2024-07-18, 8, Milano, Starhotels Anderson, large, 2, 67840, 0.35000000000000003, 0.85
2024-06-01, 2024-07-25, 5, Riyadh, Ibis Riyadh Olaya Street, standard, 1, 2100, 0.15000000000000002, 0.6000000000000001
2024-05-24, 2024-07-14, 3, Amsterdam, The Student Hotel Amsterdam City, executive, 1, 5310, 0.15000000000000002, 0.6000000000000001
2024-05-27, 2024-07-19, 6, Rio de Janeiro, Grand Hyatt Rio de Janeiro, large, 2, 58800, 0.4, 0.8
2024-06-17, 2024-08-07, 7, Aydın, Ilayda Avantgarde, executive, 1, 14700, 0.2, 0.45000000000000007
2024-06-12, 2024-08-05, 1, Miami, The Setai Miami Beach, suit, 1, 1640, 0.3, 0.5
2024-05-25, 2024-07-16, 3, Delhi, The Oberoi, deluxe, 2, 18120, 0.25, 0.8
2024-06-13, 2024-08-06, 6, Las Vegas, New York-New York Hotel & Casino, standard, 2, 41280, 0.30000000000000004, 0.4
2024-05-24, 2024-07-15, 6, Buenos Aires, Four Seasons Hotel Buenos Aires, standard, 1, 15660, 0.4, 0.5
2024-05-29, 2024-07-23, 5, Nairobi, Best Western Plus Meridian, executive, 1, 8200, 0.15000000000000002, 0.45000000000000007
2024-06-05, 2024-07-27, 13, Johannesburg, Premier Hotel Mapungubwe, deluxe, 6, 97500, 0.2, 0.6000000000000001
2024-06-02, 2024-07-22, 2, Hong Kong, Novotel Century Hong Kong, executive, 1, 5240, 0.35000000000000003, 0.55
2024-05-30, 2024-07-22, 2, Miami, Marriott Miami Dadeland, executive, 1, 3720, 0.25, 0.7
2024-05-20, 2024-07-10, 13, Bursa, Divan Bursa, suit, 1, 19760, 0.30000000000000004, 0.7
2024-06-08, 2024-08-01, 11, Delhi, The Metropolitan Hotel & Spa New Delhi, standard, 1, 38280, 0.30000000000000004, 0.7
2024-06-10, 2024-07-30, 5, Konya, Ramada Plaza Konya, suit, 4, 26000, 0.35000000000000003, 0.55
2024-05-25, 2024-07-17, 4, Eskişehir, Tasigo Hotels Eskisehir, executive, 1, 11280, 0.4, 0.95
2024-05-31, 2024-07-20, 4, Gaziantep, Novotel, large, 7, 41440, 0.25, 0.7
2024-06-14, 2024-08-07, 6, Mumbai, Four Seasons Hotel Mumbai, standard, 2, 55200, 0.25, 0.5
2024-05-30, 2024-07-21, 5, Pekin, Beijing Hyde Hotel, large, 9, 29700, 0.25, 0.6000000000000001
2024-06-10, 2024-08-03, 1, Paris, Novotel Paris Les Halles, deluxe, 10, 65500, 0.2, 0.85
2024-05-27, 2024-07-20, 6, Cape Town, Holiday Inn Express Cape Town, large, 1, 5400, 0.2, 0.30000000000000004
2024-06-14, 2024-08-05, 1, Şanlıurfa, Dedeman Sanliurfa, standard, 9, 11430, 0.30000000000000004, 0.7
2024-06-09, 2024-07-29, 4, San Francisco, The Mosser, executive, 1, 7320, 0.25, 0.75
2024-06-11, 2024-08-05, 6, Doha, The St. Regis Doha, deluxe, 2, 43680, 0.4, 0.95
2024-05-23, 2024-07-13, 5, İstanbul, The Constantine Hotel, deluxe, 2, 15400, 0.25, 0.75
2024-05-22, 2024-07-11, 3, Adana, Masel Hotel, deluxe, 5, 21900, 0.2, 0.75
2024-06-14, 2024-08-04, 1, Hong Kong, Hotel Sav Hong Kong, executive, 1, 2270, 0.30000000000000004, 0.75
2024-06-14, 2024-08-07, 2, Dubai, Atlantis The Palm, standard, 2, 13000, 0.4, 0.95
2024-05-20, 2024-07-11, 6, Buenos Aires, Hotel Lyon Buenos Aires, suit, 1, 5760, 0.2, 0.30000000000000004
2024-05-20, 2024-07-10, 5, Barselona, W Barcelona, large, 1, 18950, 0.3, 1
2024-06-02, 2024-07-24, 2, Gaziantep, Tugcan Hotel, standard, 32, 144000, 0.25, 0.5
2024-06-13, 2024-08-04, 6, Buenos Aires, Hotel Mundial, standard, 10, 60600, 0.30000000000000004, 0.45000000000000007
2024-05-20, 2024-07-14, 1, İzmir, Hotel Baylan Basmane, large, 3, 2220, 0.2, 0.30000000000000004
2024-05-18, 2024-07-11, 6, Trabzon, Nur Hotel, standard, 6, 136440, 0.30000000000000004, 0.6000000000000001
2024-05-26, 2024-07-17, 5, Auckland, Hilton Auckland, standard, 8, 187200, 0.35, 0.8
2024-06-10, 2024-08-04, 2, Roma, Hotel Colosseum, suit, 5, 57500, 0.30000000000000004, 0.75
2024-06-09, 2024-08-03, 1, Mexico City, Hotel Marbella, suit, 9, 14220, 0.15000000000000002, 0.30000000000000004
2024-06-02, 2024-07-25, 8, Şanghay, Mandarin Oriental Pudong, deluxe, 12, 456000, 0.3, 0.5
2024-06-04, 2024-07-24, 2, Şanghay, Shanghai Fish Inn Bund, standard, 12, 21360, 0.15000000000000002, 0.75
2024-05-28, 2024-07-22, 1, Hong Kong, Novotel Century Hong Kong, executive, 2, 5240, 0.35000000000000003, 0.55
2024-05-28, 2024-07-17, 9, Delhi, The Oberoi, deluxe, 9, 413100, 0.25, 0.8
2024-06-16, 2024-08-05, 5, Trabzon, TS Gold Hotel, deluxe, 13, 452400, 0.30000000000000004, 0.85
2024-06-11, 2024-08-01, 1, Buenos Aires, Dazzler by Wyndham Buenos Aires San Martin, large, 39, 40170, 0.25, 0.7
2024-06-06, 2024-07-28, 2, Bangkok, Shangri-La Hotel Bangkok, standard, 2, 15200, 0.3, 1
2024-06-03, 2024-07-28, 2, Madrid, Petit Palace Cliper Gran Via, suit, 3, 10440, 0.30000000000000004, 0.30000000000000004
2024-05-22, 2024-07-12, 2, Trabzon, Fengo Hotel, deluxe, 7, 34860, 0.30000000000000004, 0.7
2024-06-15, 2024-08-08, 9, İzmir, Mövenpick Hotel Izmir, deluxe, 8, 149040, 0.25, 0.7
2024-06-11, 2024-08-04, 2, Konya, Dedeman Konya Hotel, large, 4, 29760, 0.25, 0.65
2024-06-11, 2024-08-05, 6, Cape Town, The Table Bay Hotel, deluxe, 5, 157200, 0.4, 0.95
2024-05-22, 2024-07-14, 5, Miami, Hotel St. Michel, suit, 1, 6800, 0.30000000000000004, 0.30000000000000004
2024-05-21, 2024-07-10, 1, Riyadh, Four Seasons Hotel Riyadh, deluxe, 2, 9280, 0.25, 1
2024-06-20, 2024-08-09, 13, Los Angeles, The Westin Bonaventure Hotel, executive, 2, 59800, 0.30000000000000004, 0.7
2024-05-29, 2024-07-21, 1, Seul, Four Points by Sheraton Josun, standard, 1, 2010, 0.2, 0.85
2024-05-29, 2024-07-18, 1, Amsterdam, The Student Hotel Amsterdam City, deluxe, 1, 1070, 0.15000000000000002, 0.6000000000000001
2024-06-09, 2024-07-31, 15, Johannesburg, Protea Hotel by Marriott Johannesburg Balalaika Sandton, standard, 8, 152400, 0.35000000000000003, 0.85
2024-06-04, 2024-07-24, 1, Viyana, Hotel Caroline, standard, 7, 5670, 0.30000000000000004, 0.6000000000000001
2024-05-23, 2024-07-14, 2, Rio de Janeiro, PortoBay Rio Internacional, executive, 3, 17040, 0.25, 0.4
2024-05-24, 2024-07-16, 1, Sao Paulo, Fasano Sao Paulo, suit, 5, 14300, 0.3, 1
2024-06-11, 2024-08-03, 12, Şanlıurfa, Harran Hotel, suit, 2, 37920, 0.30000000000000004, 0.85
2024-06-12, 2024-08-01, 1, Riyadh, Hyatt Regency Riyadh Olaya, standard, 8, 20960, 0.35, 1
2024-06-14, 2024-08-04, 6, Konya, Dedeman Konya Hotel, deluxe, 6, 121320, 0.25, 0.65
2024-06-06, 2024-07-30, 4, Auckland, President Hotel, standard, 6, 46080, 0.15000000000000002, 0.75
2024-05-22, 2024-07-11, 2, Buenos Aires, Dazzler by Wyndham Buenos Aires San Martin, suit, 1, 2540, 0.25, 0.7
2024-05-19, 2024-07-11, 2, Amsterdam, Ibis Amsterdam Centre, large, 12, 22080, 0.2, 0.6000000000000001
2024-05-18, 2024-07-11, 10, İzmir, Swissotel Buyuk Efes, suit, 2, 70600, 0.4, 0.8
2024-06-15, 2024-08-07, 15, Mersin, Hilton Mersin, executive, 1, 60000, 0.3, 1
2024-06-10, 2024-07-30, 15, Barselona, Mandarin Oriental, standard, 1, 52350, 0.3, 1
2024-05-24, 2024-07-18, 6, Şanlıurfa, Hilton Garden Inn, executive, 1, 10020, 0.30000000000000004, 0.75
2024-06-14, 2024-08-06, 4, Ankara, JW Marriott Hotel Ankara, executive, 4, 32800, 0.3, 0.95
2024-06-19, 2024-08-10, 4, Barselona, Hotel Catalonia Plaza, executive, 1, 8320, 0.30000000000000004, 0.55
2024-06-12, 2024-08-03, 1, Adana, Cukurova Park Hotel, deluxe, 6, 5640, 0.30000000000000004, 0.30000000000000004
2024-05-28, 2024-07-19, 2, Tokyo, Keio Plaza Hotel, suit, 2, 9200, 0.35000000000000003, 0.85
2024-05-16, 2024-07-10, 7, Adana, Divan Adana, standard, 1, 23520, 0.35, 0.65
2024-05-27, 2024-07-19, 8, Trabzon, Zorlu Grand Hotel, standard, 2, 20160, 0.35000000000000003, 0.55
2024-06-14, 2024-08-08, 2, Johannesburg, Protea Hotel by Marriott Johannesburg Balalaika Sandton, executive, 1, 3320, 0.35000000000000003, 0.85
2024-06-01, 2024-07-25, 1, Gaziantep, Yunus Hotel, standard, 8, 6320, 0.25, 0.6000000000000001
2024-05-26, 2024-07-17, 5, Madrid, Petit Palace Cliper Gran Via, deluxe, 10, 66000, 0.30000000000000004, 0.30000000000000004
2024-06-11, 2024-08-01, 1, New York, Pod 51 Hotel, standard, 14, 43820, 0.25, 0.6000000000000001
2024-05-21, 2024-07-14, 2, Konya, Rixos Konya, deluxe, 11, 107800, 0.25, 0.95
2024-05-21, 2024-07-13, 1, Antalya, Ramada Plaza Antalya, standard, 9, 14490, 0.2, 0.85
2024-05-30, 2024-07-19, 13, Mumbai, The St. Regis Mumbai, standard, 1, 20670, 0.30000000000000004, 1
2024-05-23, 2024-07-12, 6, Ankara, Sheraton Ankara, suit, 1, 20400, 0.25, 1
2024-06-18, 2024-08-07, 2, New York, DoubleTree by Hilton Times Square, large, 13, 23920, 0.35000000000000003, 0.4
2024-05-27, 2024-07-17, 1, Ankara, Radisson Blu Ankara, executive, 3, 6480, 0.35000000000000003, 0.7
2024-06-16, 2024-08-05, 2, Şanghay, Waldorf Astoria Shanghai on the Bund, standard, 10, 93000, 0.4, 0.95
2024-05-26, 2024-07-16, 4, Johannesburg, Sandton Sun, large, 8, 73920, 0.25, 0.8
2024-06-11, 2024-08-04, 6, Los Angeles, Hilton Checkers Los Angeles, large, 6, 104040, 0.2, 0.55
2024-06-05, 2024-07-28, 1, Nairobi, Hotel Central Park, suit, 1, 960, 0.15000000000000002, 0.75
2024-06-07, 2024-08-01, 11, Roma, Hassler Roma, executive, 2, 75900, 0.4, 1
2024-05-24, 2024-07-17, 7, Ankara, Hotel Abro Sezenler, standard, 5, 28700, 0.25, 0.75
2024-06-11, 2024-08-02, 1, Delhi, The Oberoi, suit, 1, 7580, 0.25, 0.8
2024-06-02, 2024-07-24, 8, Miami, Fontainebleau Miami Beach, suit, 1, 12480, 0.3, 0.5
2024-06-02, 2024-07-27, 15, Los Angeles, Travelodge by Wyndham Hollywood, standard, 7, 169050, 0.15000000000000002, 0.6000000000000001
2024-05-31, 2024-07-20, 2, Kuala Lumpur, The St. Regis Kuala Lumpur, suit, 2, 17640, 0.3, 0.5
2024-06-21, 2024-08-10, 2, New York, Hilton Garden Inn NYC, executive, 2, 12760, 0.25, 1
2024-06-19, 2024-08-08, 1, Trabzon, Novotel Trabzon, large, 13, 45760, 0.4, 0.95
2024-05-25, 2024-07-14, 7, İstanbul, The Constantine Hotel, standard, 2, 12180, 0.25, 0.75
2024-06-02, 2024-07-24, 6, Singapur, Raffles Hotel Singapore, suit, 29, 466320, 0.25, 0.65
2024-06-12, 2024-08-05, 4, Bangkok, Amari Watergate Bangkok, standard, 1, 6240, 0.25, 0.55
2024-05-29, 2024-07-23, 2, Viyana, Hotel Regina, large, 1, 3580, 0.2, 0.85
2024-05-27, 2024-07-19, 6, Konya, Ramada Plaza Konya, deluxe, 2, 17400, 0.35000000000000003, 0.55
2024-06-05, 2024-07-28, 5, Sydney, Great Southern Hotel, large, 6, 92400, 0.2, 0.75
2024-05-22, 2024-07-15, 1, Barselona, W Barcelona, large, 2, 4960, 0.3, 1
2024-05-21, 2024-07-11, 1, Delhi, Hotel Ajanta, deluxe, 9, 42390, 0.30000000000000004, 0.30000000000000004
2024-06-13, 2024-08-02, 4, New York, Pod 51 Hotel, standard, 7, 26320, 0.25, 0.6000000000000001
2024-05-18, 2024-07-12, 2, Gaziantep, Ibis Gaziantep, deluxe, 7, 18340, 0.2, 0.75
2024-06-18, 2024-08-09, 15, Bali, AYANA Resort and Spa Bali, suit, 32, 1180800, 0.25, 0.95
2024-06-16, 2024-08-05, 14, Milano, Bulgari Hotel Milano, deluxe, 2, 119280, 0.4, 0.8
2024-06-02, 2024-07-23, 1, İzmir, Mövenpick Hotel Izmir, suit, 12, 26640, 0.25, 0.7
2024-06-04, 2024-07-29, 2, New York, DoubleTree by Hilton Times Square, standard, 2, 5880, 0.35000000000000003, 0.4
2024-05-19, 2024-07-12, 3, Hong Kong, The Peninsula Hong Kong, suit, 11, 231000, 0.3, 0.8
2024-05-21, 2024-07-12, 2, Los Angeles, The Westin Bonaventure Hotel, large, 19, 55480, 0.30000000000000004, 0.7
2024-06-07, 2024-07-27, 13, Rio de Janeiro, Belmond Copacabana Palace, executive, 1, 52520, 0.3, 0.65
2024-06-10, 2024-08-03, 3, Adana, Masel Hotel, large, 9, 36450, 0.2, 0.75
2024-06-17, 2024-08-10, 1, Bangkok, Travelodge Sukhumvit, large, 12, 9000, 0.15000000000000002, 0.75
2024-06-15, 2024-08-09, 2, Barselona, Hotel Arts Barcelona, suit, 11, 93940, 0.4, 1
2024-06-09, 2024-08-02, 1, Ankara, Hotel Abro Sezenler, executive, 1, 2040, 0.25, 0.75
2024-05-30, 2024-07-21, 3, Viyana, Hotel Sacher Wien, large, 39, 482040, 0.25, 1
2024-05-23, 2024-07-12, 5, Tokyo, Hotel Sunroute Plaza Shinjuku, large, 9, 85500, 0.25, 1
2024-05-28, 2024-07-18, 2, Aydın, Ramada Resort Kusadasi, deluxe, 8, 31840, 0.35000000000000003, 0.7
2024-05-21, 2024-07-12, 1, Delhi, Hotel City Star, executive, 3, 6480, 0.15000000000000002, 0.45000000000000007
2024-05-28, 2024-07-21, 1, Aydın, Richmond Ephesus Resort, large, 9, 54720, 0.4, 1
2024-05-26, 2024-07-20, 14, Miami, EB Hotel Miami, suit, 2, 42840, 0.25, 0.85
2024-06-17, 2024-08-07, 15, Seul, Ibis Styles Ambassador, executive, 1, 32850, 0.25, 0.30000000000000004
2024-06-16, 2024-08-10, 2, Viyana, Hotel Sacher Wien, standard, 39, 458640, 0.25, 1
2024-05-25, 2024-07-17, 2, Londra, The Ritz London, suit, 5, 85400, 0.35, 1
2024-05-27, 2024-07-20, 9, Antalya, Titanic Beach Lara, suit, 1, 104940, 0.3, 0.5
2024-06-02, 2024-07-25, 15, Auckland, President Hotel, suit, 1, 15300, 0.15000000000000002, 0.75
2024-05-25, 2024-07-17, 7, New York, Holiday Inn Express, standard, 11, 61600, 0.15000000000000002, 0.30000000000000004
2024-06-18, 2024-08-08, 4, Eskişehir, Tasigo Hotels Eskisehir, large, 6, 86640, 0.4, 0.95
2024-06-19, 2024-08-09, 2, İstanbul, Sirkeci Park Hotel, executive, 1, 3480, 0.25, 0.75
2024-06-14, 2024-08-05, 2, Kuala Lumpur, Traders Hotel Kuala Lumpur, deluxe, 16, 46400, 0.35000000000000003, 0.4
2024-06-03, 2024-07-26, 2, Rio de Janeiro, PortoBay Rio Internacional, large, 1, 9560, 0.25, 0.4
2024-06-11, 2024-07-31, 5, Johannesburg, The Michelangelo Hotel, deluxe, 8, 129200, 0.4, 0.5
2024-06-10, 2024-08-03, 3, San Francisco, Four Seasons Hotel San Francisco, deluxe, 4, 108840, 0.3, 1
2024-06-03, 2024-07-25, 8, Mexico City, St. Regis Mexico City, standard, 26, 744640, 0.4, 0.8
2024-06-15, 2024-08-09, 1, Mersin, Dostlar Hotel, deluxe, 9, 14490, 0.2, 0.6000000000000001
2024-05-28, 2024-07-17, 1, Cairo, City View Hotel, deluxe, 1, 1070, 0.2, 0.30000000000000004
2024-06-15, 2024-08-04, 11, Paris, Ibis Paris Montmartre, suit, 2, 110220, 0.15000000000000002, 0.6000000000000001
2024-06-02, 2024-07-23, 3, Melbourne, Radisson on Flagstaff Gardens, deluxe, 1, 3660, 0.35000000000000003, 0.4
2024-05-24, 2024-07-14, 2, Dubai, Burj Al Arab, standard, 7, 35280, 0.25, 0.8
2024-05-19, 2024-07-12, 6, İstanbul, Ramada by Wyndham, deluxe, 13, 96720, 0.2, 0.7
2024-06-11, 2024-08-03, 1, Milano, Armani Hotel Milano, deluxe, 2, 6220, 0.35, 1
2024-05-27, 2024-07-16, 4, Muğla, Yacht Classic Hotel, executive, 1, 11240, 0.35000000000000003, 0.7
2024-06-02, 2024-07-25, 6, Doha, Holiday Inn Doha, executive, 1, 13080, 0.30000000000000004, 0.4
2024-06-14, 2024-08-08, 6, Viyana, Hotel Sacher Wien, large, 19, 418380, 0.25, 1
2024-06-08, 2024-08-01, 12, Prag, Mandarin Oriental Prague, suit, 4, 140640, 0.4, 0.65
2024-06-16, 2024-08-06, 6, Singapur, The Fullerton Hotel, suit, 1, 17760, 0.4, 1
2024-05-23, 2024-07-16, 1, Doha, Millennium Hotel Doha, executive, 2, 2740, 0.25, 0.55
2024-06-10, 2024-07-31, 7, Moskova, Maxima Panorama Hotel, large, 8, 54320, 0.15000000000000002, 0.45000000000000007
2024-06-13, 2024-08-03, 7, Cairo, Fairmont Nile City, deluxe, 1, 53550, 0.4, 0.8
